,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
60,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,11,8,6,1,12,4,7,6,7
61,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,11,8,6,1,12,12,7,6,7
62,7,10,12,6,7,2,12,5,10,12,10,4,12,7,3,11,8,6,1,12,12,7,6,7
63,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,11,8,6,1,12,12,7,6,7
64,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,11,8,6,1,12,12,7,6,7
65,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,11,8,6,1,12,12,7,6,7
66,7,10,12,12,7,2,12,5,10,12,10,4,12,10,3,12,8,6,1,12,12,7,6,10
67,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
68,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
69,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,10
70,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
71,7,10,12,12,7,2,12,12,10,12,10,4,12,7,3,12,8,6,1,12,12,7,6,7
72,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,10,6,1,12,12,7,6,7
73,7,10,12,12,7,2,12,5,10,12,10,4,12,10,3,12,10,6,1,12,12,7,6,7
74,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,8,6,1,12,10,7,6,7
75,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,10,6,1,12,10,7,6,7
76,7,10,12,12,7,2,12,5,10,12,10,4,12,7,3,12,10,6,1,12,12,7,6,7
